observation_date,labor_hours_index,gdp,deflator,investment_nominal,investment_real,capital,labor_growth,gdp_growth,capital_growth
2004-01-01,0.7,15248.68,78.193,645587000000.0,33025309170.89765,580590514371.67,0.006999999999999999,0.0056505202389018905,0.007349155161989529
2004-04-01,1.2,15366.85,78.824,667972250000.0,33896896884.19771,584586297823.9843,0.012,0.007719649918941585,0.0068587000265338816
2004-07-01,1.6,15512.619,79.324,686050000000.0,34594826282.08361,589253879816.9828,0.016,0.009441229885171154,0.0079527122724663
2004-10-01,1.7,15670.88,79.939,703780250000.0,35215864596.75503,594386012108.2173,0.017,0.010150391321133156,0.008671834208819007
2005-01-01,1.5,15844.727,80.578,721288000000.0,35805703790.11641,599882576099.5614,0.015,0.011032550529236573,0.009204969228118642
2005-04-01,1.9,15922.782,81.158,739467500000.0,36445821730.45171,605694151084.6997,0.019,0.004914150308623633,0.009641227922038809
2005-07-01,1.6,16047.587,81.898,759013500000.0,37071161688.93014,611855265260.9164,0.016,0.007807581701131383,0.010120602386905375
2005-10-01,1.7,16136.734,82.571,770724000000.0,37336304513.691246,618333663686.8007,0.017,0.0055397923720761355,0.010532460766306428
2006-01-01,2.5,16353.835,83.156,792802500000.0,38135672711.530136,624753285016.1519,0.025,0.013364138447713003,0.010328607192679584
2006-04-01,2.2,16396.151,83.882,796388000000.0,37976586156.743996,631651293476.8744,0.022000000000000002,0.0025841857488995146,0.010980663218294495
2006-07-01,2.4,16420.738,84.468,795185750000.0,37656189326.13534,638045314959.7747,0.024,0.0014984360400802643,0.01007181635661425
2006-10-01,2.2,16561.866,84.77,798481750000.0,37677562817.03433,643799238537.9213,0.022000000000000002,0.008557775565416037,0.008977628696918316
2007-01-01,1.0,16611.69,85.576,804301750000.0,37594734505.0014,649286839428.0594,0.01,0.003003840617131104,0.008487654345106677
2007-04-01,1.2,16713.314,86.171,811659000000.0,37676666163.790596,654417231961.658,0.012,0.006098982914680917,0.00787052695432422
2007-07-01,0.6,16809.587,86.642,809255250000.0,37360875787.7242,659373036527.3657,0.006,0.005743731109307149,0.007544321480004612
2007-10-01,-0.2,16915.191,86.993,805868000000.0,37054383686.04371,663765260488.7217,-0.002,0.006262715512194816,0.006639124730366319
2008-01-01,-0.4,16843.003,87.315,798004750000.0,36557510164.34748,667631381150.3292,-0.004,-0.004276775590032145,0.005807632988187095
2008-04-01,-1.4,16943.291,87.738,797608500000.0,36363194966.83307,670807322257.1603,-0.013999999999999999,0.005936625931315831,0.004745748997677879
2008-07-01,-2.3,16854.295,88.399,787952000000.0,35654339981.221504,673630151111.1353,-0.023,-0.0052664238027837484,0.004199277479276731
2008-10-01,-4.5,16485.35,88.613,752884250000.0,33985273041.20163,675602983536.8,-0.045,-0.022133412739485436,0.0029243779758623134
2009-01-01,-6.8,16298.262,88.543,701480500000.0,31689935963.317257,675808107401.1616,-0.068,-0.011413631359902254,0.0003035699015825344
2009-04-01,-8.5,16269.145,88.396,676545250000.0,30614292501.923164,673707637994.4208,-0.085,-0.00178810721762801,-0.003112925669952915
2009-07-01,-8.7,16326.281,88.501,672591500000.0,30399272324.6065,670636548596.6229,-0.087,0.0035057715471396023,-0.004568911400564701
2009-10-01,-6.3,16502.754,88.781,672727250000.0,30309514423.131073,667503993491.3982,-0.063,0.010751135379244658,-0.0046819608688721814
2010-01-01,-3.3,16582.71,89.036,668144250000.0,30016813423.783638,664438308239.9594,-0.033,0.00483331022067901,-0.004603338539705959
2010-04-01,-0.1,16743.162,89.471,690028250000.0,30849247242.123146,661233206251.745,-0.001,0.009629349822608546,-0.004835448598235814
2010-07-01,1.7,16872.266,89.743,693253500000.0,30899501911.012558,659020793181.2809,0.017,0.007681272705003295,-0.003351499245347611
2010-10-01,2.2,16960.864,90.264,704633500000.0,31225449791.72206,656969255433.2294,0.022000000000000002,0.00523736364445071,-0.0031178646254090836
2011-01-01,1.9,16920.632,90.726,703309000000.0,31008046205.056984,655346242453.2899,0.019,-0.0023748667360496967,-0.0024735116060945472
2011-04-01,2.1,17035.114,91.326,718146000000.0,31454175152.749493,653586976535.6824,0.021,0.006743037468666557,-0.0026880927940915456
2011-07-01,1.9,17031.313,91.876,742496250000.0,32326015499.151028,652361802861.6477,0.019,-0.000223152255784953,-0.001876297222061396
2011-10-01,2.4,17222.583,91.985,758967250000.0,33003957166.92939,652069728217.7163,0.024,0.011167896811464573,-0.0004478190565819773
